Player_ID,Full_Name,Gender,Country,Continent,Date_of_Birth,Age,Height_cm,Weight_kg,Playing_Hand,Playing_Style,World_Ranking,National_Ranking,Career_Matches_Played,Career_Matches_Won,Win_Percentage,Titles_Won,International_Titles,Years_Active,Current_Status,Average_Match_Duration_Min,Average_Reaction_Time_ms,Serve_Speed_kmh,Ranking_Points,Injury_History,Last_Updated
27,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,180,66,Left,Offensive,27,5,836,601,71.89,8,15,13,Active,33.0,199,61,3428,None,2024-12-31
28,Truls Moregard,MALE,Sweden,Europe,1989-03-04,36,171,76,Left,Offensive,28,1,255,176,69.02,10,3,14,Active,37.8,237,66,4684,Minor,2024-12-31
29,Felix Lebrun,MALE,France,Europe,2006-09-12,19,187,66,Left,Offensive,29,2,296,200,67.57,35,3,10,Active,32.7,230,79,5377,None,2024-12-31
30,Dang Qiu,MALE,Germany,Europe,1991-06-27,34,168,69,Right,Offensive,30,4,668,412,61.68,23,25,17,Active,30.2,183,76,5455,None,2024-12-31
31,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,188,83,Left,Offensive,31,1,406,269,66.26,36,14,16,Active,33.4,239,74,5692,Minor,2024-12-31
32,Chen Meng,FEMALE,China,Asia,1994-01-15,32,180,78,Left,All-round,32,2,660,452,68.48,30,12,13,Active,22.7,237,75,4388,None,2024-12-31
33,Wang Manyu,FEMALE,China,Asia,1994-11-15,31,180,77,Left,All-round,33,3,423,268,63.36,23,20,15,Active,26.8,218,65,3749,Minor,2024-12-31
34,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,179,85,Left,Offensive,34,3,598,432,72.24,25,6,11,Active,34.2,234,85,5465,Minor,2024-12-31
35,Hina Hayata,FEMALE,Japan,Asia,2004-12-29,21,184,76,Right,All-round,35,3,762,632,82.94,40,6,11,Active,32.1,222,72,3366,Minor,2024-12-31
36,Bernadette Szocs,FEMALE,Romania,Europe,1993-04-15,32,185,63,Left,Offensive,36,3,418,348,83.25,31,3,10,Active,24.4,198,81,4881,None,2024-12-31
37,Bruna Takahashi,FEMALE,Brazil,South America,2002-12-23,23,172,84,Right,All-round,37,2,468,335,71.58,31,20,11,Active,29.4,235,67,4890,Minor,2024-12-31
38,Adriana Diaz,FEMALE,Puerto Rico,North America,1994-12-05,31,189,58,Left,All-round,38,4,586,464,79.18,11,13,18,Active,33.9,191,70,2581,None,2024-12-31
39,Sofia Polcanova,FEMALE,Austria,Europe,2004-08-29,21,187,62,Right,All-round,39,1,572,392,68.53,14,4,18,Active,32.6,215,71,2552,None,2024-12-31
40,Doha Hany,FEMALE,Egypt,Africa,1996-07-10,29,186,84,Right,Offensive,40,5,717,604,84.24,20,14,17,Active,37.6,196,65,5190,None,2024-12-31
41,Fan Zhendong,MALE,China,Asia,1997-01-22,28,176,85,Right,Offensive,41,5,546,343,62.82,6,23,8,Active,30.8,186,82,2771,None,2024-12-31
42,Wang Chuqin,MALE,China,Asia,2000-05-11,25,185,65,Right,Offensive,42,4,880,590,67.05,8,5,18,Active,24.0,195,71,5979,None,2024-12-31
43,Ma Long,MALE,China,Asia,1988-10-20,37,178,85,Left,Offensive,43,2,658,578,87.84,9,25,9,Active,35.6,202,60,5978,Minor,2024-12-31
44,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,182,83,Right,Offensive,44,5,588,514,87.41,27,9,14,Active,36.3,215,82,3424,None,2024-12-31
45,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,189,57,Right,Offensive,45,5,539,352,65.31,38,19,17,Active,33.5,216,63,4244,Minor,2024-12-31
46,Xu Xin,MALE,China,Asia,1990-01-08,36,187,66,Right,All-round,46,5,282,219,77.66,16,14,9,Active,36.2,207,68,3095,Minor,2024-12-31
47,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,181,62,Left,Offensive,47,1,563,430,76.38,34,25,16,Active,30.8,223,61,5603,Minor,2024-12-31
48,Truls Moregard,MALE,Sweden,Europe,1990-02-19,35,166,65,Right,All-round,48,2,816,580,71.08,29,3,16,Active,36.6,194,67,5726,None,2024-12-31
49,Felix Lebrun,MALE,France,Europe,2006-09-12,19,189,84,Right,All-round,49,1,689,507,73.58,10,3,13,Active,28.3,207,83,2848,None,2024-12-31
50,Dang Qiu,MALE,Germany,Europe,1991-09-25,34,176,78,Right,All-round,50,1,305,265,86.89,13,24,15,Active,26.3,215,64,2508,None,2024-12-31
51,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,184,58,Right,All-round,51,5,556,380,68.35,25,19,18,Active,24.0,232,82,3259,Minor,2024-12-31
52,Chen Meng,FEMALE,China,Asia,1994-01-15,32,169,79,Right,All-round,52,3,322,287,89.13,9,4,17,Active,32.2,198,82,5064,None,2024-12-31
53,Wang Manyu,FEMALE,China,Asia,1996-05-04,29,173,78,Left,All-round,53,4,273,210,76.92,36,11,18,Active,30.7,182,66,5730,None,2024-12-31
54,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,189,65,Left,All-round,54,5,444,289,65.09,15,22,18,Active,30.2,237,76,2725,Minor,2024-12-31
55,Hina Hayata,FEMALE,Japan,Asia,2000-04-04,25,174,75,Left,All-round,55,3,381,335,87.93,28,22,10,Active,28.3,235,60,3082,Minor,2024-12-31
56,Bernadette Szocs,FEMALE,Romania,Europe,2000-07-05,25,180,84,Left,Offensive,56,4,882,755,85.6,20,6,14,Active,26.7,204,76,3567,None,2024-12-31
57,Bruna Takahashi,FEMALE,Brazil,South America,1990-03-30,35,165,57,Left,Offensive,57,5,899,733,81.54,22,24,15,Active,23.4,238,80,4643,None,2024-12-31
58,Adriana Diaz,FEMALE,Puerto Rico,North America,2003-03-10,22,175,82,Right,All-round,58,1,425,309,72.71,6,21,14,Active,27.4,233,80,4850,Minor,2024-12-31
59,Sofia Polcanova,FEMALE,Austria,Europe,2003-07-27,22,165,57,Left,Offensive,59,5,875,539,61.6,35,7,15,Active,37.8,235,78,4519,Minor,2024-12-31
60,Doha Hany,FEMALE,Egypt,Africa,1991-04-22,34,180,76,Right,Offensive,60,4,255,193,75.69,36,3,13,Active,30.0,219,63,4781,Minor,2024-12-31
61,Fan Zhendong,MALE,China,Asia,1997-01-22,28,182,82,Left,Offensive,61,1,543,382,70.35,37,24,8,Active,25.6,194,76,4509,Minor,2024-12-31
62,Wang Chuqin,MALE,China,Asia,2000-05-11,25,171,57,Right,Offensive,62,1,348,242,69.54,16,3,15,Active,35.7,201,85,3592,None,2024-12-31
63,Ma Long,MALE,China,Asia,1988-10-20,37,169,64,Right,Offensive,63,2,361,292,80.89,38,20,18,Active,26.2,231,80,3516,Minor,2024-12-31
64,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,177,59,Left,All-round,64,3,384,327,85.16,10,20,12,Active,23.9,200,79,2665,Minor,2024-12-31
65,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,184,65,Left,Offensive,65,1,569,417,73.29,25,20,9,Active,28.4,198,75,4000,None,2024-12-31
66,Xu Xin,MALE,China,Asia,1990-01-08,36,186,81,Right,Offensive,66,3,368,272,73.91,33,18,13,Active,26.8,225,64,3986,Minor,2024-12-31
67,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,182,68,Left,Offensive,67,4,867,593,68.4,33,7,10,Active,32.0,218,82,2556,None,2024-12-31
68,Truls Moregard,MALE,Sweden,Europe,2003-11-17,22,188,78,Left,All-round,68,5,600,511,85.17,14,15,11,Active,36.7,238,62,5588,Minor,2024-12-31
69,Felix Lebrun,MALE,France,Europe,2006-09-12,19,184,67,Left,Offensive,69,1,712,440,61.8,37,24,17,Active,22.6,193,74,5847,None,2024-12-31
70,Dang Qiu,MALE,Germany,Europe,1990-05-06,35,169,60,Left,All-round,70,1,713,433,60.73,19,17,17,Active,30.9,181,62,3787,Minor,2024-12-31
71,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,175,68,Left,Offensive,71,4,411,354,86.13,26,17,16,Active,37.5,194,81,5793,Minor,2024-12-31
72,Chen Meng,FEMALE,China,Asia,1994-01-15,32,189,70,Right,All-round,72,1,508,310,61.02,12,15,8,Active,24.6,182,82,5740,None,2024-12-31
73,Wang Manyu,FEMALE,China,Asia,1998-10-31,27,179,80,Right,All-round,73,4,603,383,63.52,9,20,13,Active,36.0,192,79,4025,None,2024-12-31
74,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,180,70,Right,All-round,74,4,864,699,80.9,35,8,9,Active,27.7,208,80,4378,None,2024-12-31
75,Hina Hayata,FEMALE,Japan,Asia,1995-05-28,30,166,75,Left,Offensive,75,2,452,373,82.52,15,16,12,Active,22.2,223,60,5090,None,2024-12-31
76,Bernadette Szocs,FEMALE,Romania,Europe,1994-10-18,31,168,66,Left,All-round,76,1,413,367,88.86,11,12,13,Active,32.1,210,79,5779,Minor,2024-12-31
77,Bruna Takahashi,FEMALE,Brazil,South America,1999-08-17,26,188,81,Right,Offensive,77,2,435,292,67.13,34,18,11,Active,37.2,238,83,5652,None,2024-12-31
78,Adriana Diaz,FEMALE,Puerto Rico,North America,1996-05-21,29,167,71,Left,Offensive,78,4,565,360,63.72,35,19,15,Active,24.1,202,84,2912,Minor,2024-12-31
79,Sofia Polcanova,FEMALE,Austria,Europe,1990-09-30,35,167,77,Left,All-round,79,2,325,262,80.62,20,25,9,Active,28.7,234,85,3411,Minor,2024-12-31
80,Doha Hany,FEMALE,Egypt,Africa,2002-02-22,23,169,70,Right,Offensive,80,5,599,392,65.44,19,3,14,Active,26.6,217,78,5326,Minor,2024-12-31
81,Fan Zhendong,MALE,China,Asia,1997-01-22,28,174,61,Right,Offensive,81,3,532,341,64.1,13,15,8,Active,37.4,206,69,5989,Minor,2024-12-31
82,Wang Chuqin,MALE,China,Asia,2000-05-11,25,183,58,Right,Offensive,82,2,741,641,86.5,40,24,12,Active,35.7,188,68,5491,None,2024-12-31
83,Ma Long,MALE,China,Asia,1988-10-20,37,184,83,Left,All-round,83,1,526,359,68.25,12,13,17,Active,27.7,187,66,4764,None,2024-12-31
84,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,168,65,Left,All-round,84,4,858,645,75.17,40,9,9,Active,34.6,183,77,4612,None,2024-12-31
85,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,179,69,Right,All-round,85,1,631,555,87.96,36,24,12,Active,23.9,234,73,5627,Minor,2024-12-31
86,Xu Xin,MALE,China,Asia,1990-01-08,36,180,76,Right,All-round,86,1,652,467,71.63,37,22,13,Active,25.0,227,77,2564,None,2024-12-31
87,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,168,61,Left,Offensive,87,3,571,385,67.43,16,6,8,Active,26.7,203,63,3895,None,2024-12-31
88,Truls Moregard,MALE,Sweden,Europe,2000-11-01,25,170,65,Right,Offensive,88,3,846,608,71.87,10,8,12,Active,27.2,220,70,4340,Minor,2024-12-31
89,Felix Lebrun,MALE,France,Europe,2006-09-12,19,186,56,Left,Offensive,89,1,308,234,75.97,39,13,9,Active,26.4,189,81,2954,None,2024-12-31
90,Dang Qiu,MALE,Germany,Europe,1992-03-08,33,176,65,Left,Offensive,90,2,274,241,87.96,12,11,12,Active,25.8,225,69,3937,None,2024-12-31
91,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,189,74,Right,All-round,91,3,578,489,84.6,27,25,14,Active,34.2,188,78,5170,Minor,2024-12-31
92,Chen Meng,FEMALE,China,Asia,1994-01-15,32,186,85,Left,Offensive,92,1,574,373,64.98,16,21,10,Active,33.1,187,85,5538,Minor,2024-12-31
93,Wang Manyu,FEMALE,China,Asia,1998-08-03,27,173,78,Left,All-round,93,2,358,283,79.05,12,25,17,Active,34.0,198,72,2656,None,2024-12-31
94,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,174,55,Left,Offensive,94,5,851,667,78.38,28,7,17,Active,37.6,194,61,3222,None,2024-12-31
95,Hina Hayata,FEMALE,Japan,Asia,1992-01-10,34,168,73,Right,All-round,95,5,499,394,78.96,5,10,12,Active,30.7,230,85,5720,Minor,2024-12-31
96,Bernadette Szocs,FEMALE,Romania,Europe,1989-03-26,36,178,71,Left,Offensive,96,3,477,360,75.47,13,3,17,Active,24.6,237,73,2553,Minor,2024-12-31
97,Bruna Takahashi,FEMALE,Brazil,South America,1998-02-10,27,165,69,Right,Offensive,97,4,633,487,76.94,25,13,17,Active,30.0,204,72,3335,None,2024-12-31
98,Adriana Diaz,FEMALE,Puerto Rico,North America,2000-02-02,25,165,83,Right,All-round,98,5,550,342,62.18,40,8,16,Active,35.1,190,75,2720,Minor,2024-12-31
99,Sofia Polcanova,FEMALE,Austria,Europe,1989-09-01,36,177,65,Right,All-round,99,5,822,691,84.06,40,19,10,Active,23.7,211,75,4726,Minor,2024-12-31
100,Doha Hany,FEMALE,Egypt,Africa,2004-10-26,21,173,64,Left,All-round,100,1,395,349,88.35,20,5,8,Active,24.1,237,64,2732,Minor,2024-12-31
101,Fan Zhendong,MALE,China,Asia,1997-01-22,28,190,81,Left,All-round,101,1,449,364,81.07,24,12,18,Active,27.0,230,71,4723,Minor,2024-12-31
102,Wang Chuqin,MALE,China,Asia,2000-05-11,25,178,85,Right,Offensive,102,5,677,571,84.34,33,6,14,Active,22.3,206,75,3518,None,2024-12-31
103,Ma Long,MALE,China,Asia,1988-10-20,37,174,81,Right,All-round,103,4,691,455,65.85,36,6,14,Active,37.7,240,62,4330,Minor,2024-12-31
104,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,189,58,Left,Offensive,104,1,569,448,78.73,31,23,13,Active,26.5,229,72,2573,None,2024-12-31
105,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,165,57,Right,All-round,105,2,649,532,81.97,40,10,17,Active,31.3,224,70,4613,Minor,2024-12-31
106,Xu Xin,MALE,China,Asia,1990-01-08,36,173,77,Left,All-round,106,2,803,544,67.75,39,22,9,Active,26.2,228,69,4909,Minor,2024-12-31
107,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,183,65,Right,Offensive,107,3,413,368,89.1,6,5,13,Active,31.8,194,69,4904,None,2024-12-31
108,Truls Moregard,MALE,Sweden,Europe,1993-02-22,32,182,84,Right,Offensive,108,5,442,358,81.0,12,25,10,Active,33.1,183,68,5294,None,2024-12-31
109,Felix Lebrun,MALE,France,Europe,2006-09-12,19,166,76,Right,Offensive,109,2,427,303,70.96,22,13,8,Active,28.8,211,84,3256,None,2024-12-31
110,Dang Qiu,MALE,Germany,Europe,1991-12-30,34,188,64,Right,Offensive,110,3,593,395,66.61,12,6,14,Active,28.9,203,75,3714,Minor,2024-12-31
111,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,175,61,Left,Offensive,111,3,782,661,84.53,34,8,8,Active,27.9,229,83,2891,Minor,2024-12-31
112,Chen Meng,FEMALE,China,Asia,1994-01-15,32,177,66,Right,Offensive,112,5,389,235,60.41,22,24,8,Active,26.3,229,60,5299,None,2024-12-31
113,Wang Manyu,FEMALE,China,Asia,2001-12-09,24,167,67,Right,Offensive,113,1,851,574,67.45,20,19,14,Active,24.4,208,61,5286,None,2024-12-31
114,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,181,58,Right,All-round,114,3,768,642,83.59,5,23,14,Active,33.1,233,75,2634,Minor,2024-12-31
115,Hina Hayata,FEMALE,Japan,Asia,1999-01-16,27,170,70,Left,Offensive,115,2,733,480,65.48,27,16,16,Active,32.5,210,67,5580,None,2024-12-31
116,Bernadette Szocs,FEMALE,Romania,Europe,2001-12-21,24,171,70,Right,Offensive,116,1,341,223,65.4,37,20,15,Active,22.2,226,66,3136,None,2024-12-31
117,Bruna Takahashi,FEMALE,Brazil,South America,2003-04-10,22,176,84,Left,All-round,117,3,780,575,73.72,20,25,17,Active,32.7,180,70,4240,None,2024-12-31
118,Adriana Diaz,FEMALE,Puerto Rico,North America,1998-04-20,27,187,79,Right,Offensive,118,2,281,252,89.68,34,16,9,Active,22.6,238,64,3537,Minor,2024-12-31
119,Sofia Polcanova,FEMALE,Austria,Europe,2000-12-17,25,183,68,Left,All-round,119,4,476,336,70.59,24,3,11,Active,35.4,205,70,3184,Minor,2024-12-31
120,Doha Hany,FEMALE,Egypt,Africa,1991-09-15,34,166,81,Left,Offensive,120,4,857,609,71.06,36,5,11,Active,23.6,223,78,5412,Minor,2024-12-31
121,Fan Zhendong,MALE,China,Asia,1997-01-22,28,178,72,Right,Offensive,121,2,722,586,81.16,10,20,18,Active,28.8,183,63,4787,None,2024-12-31
122,Wang Chuqin,MALE,China,Asia,2000-05-11,25,169,74,Left,All-round,122,5,657,412,62.71,34,25,10,Active,32.2,183,78,5548,Minor,2024-12-31
123,Ma Long,MALE,China,Asia,1988-10-20,37,178,64,Left,Offensive,123,4,469,360,76.76,17,3,12,Active,30.2,235,62,2603,None,2024-12-31
124,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,166,75,Left,Offensive,124,3,558,355,63.62,13,18,16,Active,31.0,236,84,5084,None,2024-12-31
125,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,176,72,Right,All-round,125,2,761,474,62.29,32,18,12,Active,26.8,210,69,5285,None,2024-12-31
126,Xu Xin,MALE,China,Asia,1990-01-08,36,168,72,Left,Offensive,126,3,370,302,81.62,17,15,15,Active,25.9,224,82,4466,None,2024-12-31
127,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,186,79,Left,All-round,127,2,547,446,81.54,9,11,15,Active,32.8,236,77,5765,Minor,2024-12-31
128,Truls Moregard,MALE,Sweden,Europe,2001-10-08,24,189,66,Right,Offensive,128,1,282,191,67.73,7,9,16,Active,35.8,185,78,2500,Minor,2024-12-31
129,Felix Lebrun,MALE,France,Europe,2006-09-12,19,172,84,Left,Offensive,129,2,476,342,71.85,27,24,10,Active,34.0,205,67,5887,Minor,2024-12-31
130,Dang Qiu,MALE,Germany,Europe,1999-06-21,26,190,70,Left,All-round,130,2,602,493,81.89,15,22,8,Active,29.8,184,70,4421,Minor,2024-12-31
131,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,172,75,Left,All-round,131,3,511,426,83.37,37,6,12,Active,28.4,207,64,5434,None,2024-12-31
132,Chen Meng,FEMALE,China,Asia,1994-01-15,32,186,69,Left,Offensive,132,5,280,246,87.86,14,12,13,Active,26.3,194,68,5624,None,2024-12-31
133,Wang Manyu,FEMALE,China,Asia,1992-06-21,33,190,61,Right,All-round,133,4,593,408,68.8,16,12,9,Active,34.5,219,70,4178,Minor,2024-12-31
134,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,165,69,Right,Offensive,134,4,535,445,83.18,37,6,10,Active,29.2,192,61,4314,None,2024-12-31
135,Hina Hayata,FEMALE,Japan,Asia,1999-08-29,26,172,70,Right,Offensive,135,5,407,303,74.45,16,20,18,Active,37.9,230,81,4352,None,2024-12-31
136,Bernadette Szocs,FEMALE,Romania,Europe,1996-05-28,29,178,76,Right,Offensive,136,5,384,271,70.57,18,18,18,Active,31.1,183,68,4889,None,2024-12-31
137,Bruna Takahashi,FEMALE,Brazil,South America,1992-05-31,33,185,76,Right,All-round,137,1,676,569,84.17,22,23,16,Active,36.2,203,81,5706,None,2024-12-31
138,Adriana Diaz,FEMALE,Puerto Rico,North America,2004-08-31,21,181,83,Left,All-round,138,2,507,442,87.18,17,11,14,Active,24.6,216,83,3331,Minor,2024-12-31
139,Sofia Polcanova,FEMALE,Austria,Europe,2002-07-21,23,187,66,Right,Offensive,139,2,579,491,84.8,27,20,14,Active,31.5,232,67,4522,None,2024-12-31
140,Doha Hany,FEMALE,Egypt,Africa,2004-11-28,21,175,81,Right,All-round,140,4,301,187,62.13,35,25,11,Active,27.4,224,60,5726,None,2024-12-31
141,Fan Zhendong,MALE,China,Asia,1997-01-22,28,165,57,Left,Offensive,141,4,350,235,67.14,34,6,13,Active,36.6,214,76,4906,None,2024-12-31
142,Wang Chuqin,MALE,China,Asia,2000-05-11,25,183,64,Left,Offensive,142,4,855,748,87.49,15,8,11,Active,33.0,197,82,2853,Minor,2024-12-31
143,Ma Long,MALE,China,Asia,1988-10-20,37,171,70,Left,All-round,143,3,793,705,88.9,28,7,16,Active,36.5,201,66,4380,None,2024-12-31
144,Hugo Calderano,MALE,Brazil,South America,1996-06-22,29,167,58,Left,All-round,144,2,737,504,68.39,35,14,10,Active,24.8,225,61,4973,None,2024-12-31
145,Tomokazu Harimoto,MALE,Japan,Asia,2003-06-27,22,174,67,Right,All-round,145,5,396,245,61.87,13,14,8,Active,34.3,199,68,5889,None,2024-12-31
146,Xu Xin,MALE,China,Asia,1990-01-08,36,179,70,Right,Offensive,146,5,316,213,67.41,11,23,18,Active,30.6,211,79,2966,None,2024-12-31
147,Lin Yun-Ju,MALE,Chinese Taipei,Asia,2001-08-17,24,176,70,Right,Offensive,147,1,796,502,63.07,25,20,13,Active,30.6,189,77,5308,None,2024-12-31
148,Truls Moregard,MALE,Sweden,Europe,2000-03-22,25,181,72,Left,Offensive,148,5,509,326,64.05,32,8,14,Active,23.6,212,85,4521,Minor,2024-12-31
149,Felix Lebrun,MALE,France,Europe,2006-09-12,19,177,68,Right,Offensive,149,2,264,229,86.74,17,25,17,Active,37.0,186,62,3351,None,2024-12-31
150,Dang Qiu,MALE,Germany,Europe,1990-12-25,35,184,79,Right,Offensive,150,3,765,536,70.07,33,23,11,Active,24.8,219,66,3590,None,2024-12-31
151,Sun Yingsha,FEMALE,China,Asia,2000-11-04,25,183,78,Right,Offensive,151,5,630,438,69.52,10,6,8,Active,34.6,233,83,4094,None,2024-12-31
152,Chen Meng,FEMALE,China,Asia,1994-01-15,32,166,85,Left,All-round,152,5,281,227,80.78,18,12,12,Active,29.7,218,72,4204,Minor,2024-12-31
153,Wang Manyu,FEMALE,China,Asia,1993-09-05,32,175,82,Left,All-round,153,3,793,568,71.63,18,17,13,Active,29.3,206,85,4500,Minor,2024-12-31
154,Mima Ito,FEMALE,Japan,Asia,2000-10-21,25,177,81,Left,Offensive,154,2,770,647,84.03,9,17,15,Active,24.2,186,81,3966,Minor,2024-12-31
155,Hina Hayata,FEMALE,Japan,Asia,1996-07-04,29,167,84,Right,Offensive,155,3,476,371,77.94,6,20,9,Active,28.4,220,61,3268,None,2024-12-31
156,Bernadette Szocs,FEMALE,Romania,Europe,2003-12-13,22,180,73,Right,Offensive,156,1,254,162,63.78,33,18,11,Active,35.6,217,68,5696,None,2024-12-31
157,Bruna Takahashi,FEMALE,Brazil,South America,1994-10-14,31,186,58,Left,All-round,157,5,289,249,86.16,27,19,15,Active,26.7,240,81,4071,Minor,2024-12-31
158,Adriana Diaz,FEMALE,Puerto Rico,North America,2004-08-21,21,166,71,Left,All-round,158,2,780,642,82.31,33,16,12,Active,28.1,185,85,4438,Minor,2024-12-31
